Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
phot1-5,25,2,3,0.01,0.53,0.57,1.46,0.89,0.54,54,,
phot1-5,25,2,4,0.005,0.48,0.66,1.71,1.05,0.485,48.5,,
phot1-5,25,2,5,0.025,0.5,0.51,1.45,0.94,0.525,52.5,,
phot1-5,25,2,6,0.025,0.474,0.58,1.6,1.02,0.499,49.9,0.547,
phot1-5/2-1,25,1,1,0.01,0.455,0.52,1.63,1.11,0.465,46.5,,
phot1-5/2-1,25,1,2,0.04,0.42,0.49,1.835,1.345,0.46,46,,
phot1-5/2-1,25,1,3,0.01,0.5,0.44,1.74,1.3,0.51,51,,
phot1-5/2-1,25,1,4,0.01,0.5,0.48,1.74,1.26,0.51,51,,
phot1-5/2-1,25,1,5,0.01,0.49,0.405,1.69,1.285,0.5,50,,
phot1-5/2-1,25,1,6,0.01,0.47,0.47,1.815,1.345,0.48,48,,
phot1-5/2-1,25,2,1,0.01,0.47,0.48,1.61,1.13,0.48,48,,
phot1-5/2-1,25,2,2,0.02,0.47,0.47,1.62,1.15,0.49,49,,
phot1-5/2-1,25,2,3,0.01,0.49,0.49,1.72,1.23,0.5,50,,
phot1-5/2-1,25,2,4,0.01,0.485,0.47,1.75,1.28,0.495,49.5,,
phot1-5/2-1,25,2,5,0.01,0.48,0.36,1.61,1.25,0.49,49,,
phot1-5/2-1,25,2,6,0.05,0.43,0.47,1.79,1.32,0.48,48,,
phot1-5/2-1,25,2,7,0.01,0.445,0.48,1.79,1.31,0.455,45.5,,
phot1-5/2-1,25,2,8,0.01,0.475,0.4,1.46,1.06,0.485,48.5,,
phot1-5/2-1,25,2,9,0.01,0.475,0.41,1.58,1.17,0.485,48.5,0.455666667,
phot2-1 ,25,1,1,0.01,0.46,0.65,2.06,1.41,0.47,47,,
phot2-1 ,25,1,2,0.005,0.49,0.55,1.82,1.27,0.495,49.5,,
phot2-1 ,25,1,3,0.01,0.47,0.61,1.99,1.38,0.48,48,,
phot2-1 ,25,1,4,0.01,0.51,0.515,1.69,1.175,0.52,52,,
phot2-1 ,25,1,5,0.025,0.54,0.49,1.65,1.16,0.565,56.5,,
phot2-1 ,25,1,6,0.02,0.425,0.53,1.7,1.17,0.445,44.5,0.5575,
pif5,25,2,1,0.03,0.38,0.5,1.77,1.27,0.41,41,,
pif5,25,2,2,0.03,0.38,0.4,1.2,0.8,0.41,41,,
pif5,25,2,3,0,0.47,0.44,1.38,0.94,0.47,47,,
pif5,25,2,4,0.01,0.51,0.46,1.475,1.015,0.52,52,,
pif5,25,2,5,0.03,0.395,0.5,1.725,1.225,0.425,42.5,,
pif5,25,2,6,0.06,0.37,0.49,1.46,0.97,0.43,43,,
pif5,25,3,7,0.045,0.38,0.44,1.49,1.05,0.425,42.5,,
pif5,25,3,8,0,0.435,0.43,1.53,1.1,0.435,43.5,,
pif5,25,3,9,0,0.48,0.38,1.28,0.9,0.48,48,0.171518414,
pif5,25,3,10,0.035,0.445,0.41,1.4,0.99,0.48,48,,
pif5,25,3,11,0.01,0.43,0.46,1.57,1.11,0.44,44,,
pif5,25,3,12,0,0.42,0.39,1.46,1.07,0.42,42,,
pif5,25,3,13,0.015,0.46,0.54,1.685,1.145,0.475,47.5,,
pif5,25,3,14,0.04,0.37,0.47,1.73,1.26,0.41,41,,
pif5,25,3,15,0.005,0.44,0.46,1.605,1.145,0.445,44.5,,
pif5,25,3,16,0.02,0.37,0.49,1.805,1.315,0.39,39,,
pif5,25,3,17,0.02,0.4,0.42,1.475,1.055,0.42,42,0.451764706,
shy2-2,25,1,1,0.015,0.405,0.7,1.76,1.06,0.42,42,,
shy2-2,25,1,2,0.025,0.365,0.6,1.56,0.96,0.39,39,,
shy2-2,25,1,3,0.015,0.36,0.6,1.28,0.68,0.375,37.5,,
shy2-2,25,2,1,0.005,0.41,0.63,1.11,0.48,0.415,41.5,,
shy2-2,25,2,2,0.015,0.37,0.7,1.92,1.22,0.385,38.5,,
shy2-2,25,2,3,0.021,0.34,0.715,1.73,1.015,0.361,36.1,0.287069346,
shy2-2,25,2,4,0.0275,0.335,0.73,1.725,0.995,0.3625,36.25,,
shy2-2,25,2,5,0.02,0.505,0.71,1.14,0.43,0.525,52.5,,
shy2-2,25,2,6,0.015,0.515,0.74,1.7,0.96,0.53,53,,
shy2-2,25,3,1,0.023,0.43,0.6,1.35,0.75,0.453,45.3,,
shy2-2,25,3,2,0.04,0.452,0.55,1.3,0.75,0.492,49.2,,
shy2-2,25,3,3,0.06,0.61,0.85,1.37,0.52,0.67,67,,
shy2-2,25,3,4,0.007,0.403,0.69,1.9,1.21,0.41,41,,
shy2-2,25,3,5,0.011,0.435,0.69,1.66,0.97,0.446,44.6,,
shy2-2,25,3,6,0.02,0.62,0.62,1.09,0.47,0.64,64,0.675,
spy-3,25,1,1,0.02,0.36,0.56,1.85,1.29,0.38,38,,
spy-3,25,1,2,0.02,0.42,0.5,1.61,1.11,0.44,44,,
spy-3,25,1,3,0.03,0.38,0.52,1.54,1.02,0.41,41,,
spy-3,25,2,1,0.06,0.45,0.96,1.91,0.95,0.51,51,,
spy-3,25,2,2,0.06,0.45,0.735,1.92,1.185,0.51,51,,
spy-3,25,2,3,0.01,0.448,0.81,1.98,1.17,0.458,45.8,,
spy-3,25,2,4,0.005,0.48,0.67,2.04,1.37,0.485,48.5,,
spy-3,25,2,5,0.05,0.435,0.63,1.98,1.35,0.485,48.5,,
spy-3,25,3,1,0.02,0.48,0.55,1.86,1.31,0.5,50,,
spy-3,25,3,2,0.045,0.41,0.75,1.9,1.15,0.455,45.5,,
spy-3,25,3,3,0.005,0.44,0.65,1.88,1.23,0.445,44.5,,
spy-3,25,3,4,0.014,0.41,0.67,2.22,1.55,0.424,42.4,,
spy-3,25,3,5,0.005,0.45,0.6,1.94,1.34,0.455,45.5,,
spy-3,25,3,6,0.023,0.4,0.625,2.01,1.385,0.423,42.3,0.659285714,
spy-8,25,1,1,0.005,0.37,1.22,2.17,0.95,0.375,37.5,,
spy-8,25,1,2,0.05,0.31,1,2.25,1.25,0.36,36,,
spy-8,25,1,3,0.04,0.3,0.5,2.35,1.85,0.34,34,,
spy-8,25,1,4,0.01,0.2,1.1,2,0.9,0.21,21,,
spy-8,25,2,1,0.05,0.471,0.98,1.9,0.92,0.521,52.1,,
spy-8,25,2,2,0.015,0.395,0.81,2.39,1.58,0.41,41,,
spy-8,25,2,3,0.009,0.426,0.917,2.25,1.333,0.435,43.5,,
spy-8,25,2,4,0.105,0.42,1.21,2.15,0.94,0.525,52.5,,
spy-8,25,2,5,0.03,0.46,0.85,2.01,1.16,0.49,49,,
spy-8,25,2,6,0.005,0.46,0.99,2.04,1.05,0.465,46.5,,
spy-8,25,3,1,0.035,0.462,0.92,2.23,1.31,0.497,49.7,,
spy-8,25,3,2,0.05,0.44,0.64,1.75,1.11,0.49,49,,
spy-8,25,3,3,0.03,0.465,0.86,2.11,1.25,0.495,49.5,,
spy-8,25,3,4,0.015,0.428,0.93,1.715,0.785,0.443,44.3,0.923357143,
Ws,25,1,1,0.055,0.475,0.64,1.95,1.31,0.53,53,,
Ws,25,1,2,0.03,0.38,0.58,2.2,1.62,0.41,41,,
Ws,25,2,1,0.009,0.475,0.5,2.275,1.775,0.484,48.4,,
Ws,25,2,2,0.015,0.55,0.6,2.22,1.62,0.565,56.5,,
Ws,25,2,3,0.09,0.435,0.58,2.29,1.71,0.525,52.5,,
Ws,25,2,4,0.062,0.41,0.49,2.25,1.76,0.472,47.2,,
Ws,25,2,5,0.005,0.51,0.6,1.99,1.39,0.515,51.5,,
Ws,25,3,1,0.03,0.565,0.91,2.3,1.39,0.595,59.5,,
Ws,25,3,2,0.008,0.485,0.7,2.13,1.43,0.493,49.3,,
Ws,25,3,3,0.003,0.08,0.72,1.4,0.68,0.083,8.3,0.632,
Tsu-0,25,1,1,0.015,0.402,0.63,1.8,1.17,0.417,41.7,,
Tsu-0,25,1,2,0.015,0.49,0.83,2.05,1.22,0.505,50.5,,
Tsu-0,25,1,3,0.015,0.48,0.47,2.05,1.58,0.495,49.5,,
Tsu-0,25,1,4,0.02,0.475,0.7,2.17,1.47,0.495,49.5,,
Tsu-0,25,2,1,0.152,0.42,0.83,1.88,1.05,0.572,57.2,,
Tsu-0,25,2,2,0.05,0.472,1.43,2.41,0.98,0.522,52.2,,
Tsu-0,25,2,3,0.075,0.405,0.78,1.73,0.95,0.48,48,,
Tsu-0,25,2,4,0.08,0.47,0.72,1.88,1.16,0.55,55,,
Tsu-0,25,2,5,0.025,0.412,0.69,2.15,1.46,0.437,43.7,,
Tsu-0,25,2,6,0.01,0.416,0.59,1.73,1.14,0.426,42.6,0.767,
Ws,15,1,1,0.01,0.266,0.83,2.1,1.27,0.276,27.6,,
Ws,15,1,2,0.007,0.27,0.75,1.91,1.16,0.277,27.7,,
Ws,15,1,3,0.007,0.31,0.81,2.16,1.35,0.317,31.7,,
Ws,15,1,4,0.007,0.23,0.79,2.45,1.66,0.237,23.7,,
Ws,15,2,1,0.007,0.264,0.94,2.15,1.21,0.271,27.1,,
Ws,15,2,2,0.018,0.195,0.97,2.33,1.36,0.213,21.3,,
Ws,15,2,3,0.01,0.29,0.78,2,1.22,0.3,30,,
Ws,15,2,4,0.005,0.235,0.81,2.7,1.89,0.24,24,,
Ws,15,3,1,0.004,0.25,0.85,2.45,1.6,0.254,25.4,,
Ws,15,3,2,0.012,0.31,0.79,2.46,1.67,0.322,32.2,,
Ws,15,3,3,0.005,0.29,0.85,2.6,1.75,0.295,29.5,,
,,,,,,,,,,,,
cry2,15,1,1,0.02,0.2,0.52,0.88,0.36,0.22,22,,
cry2,15,1,2,0.005,0.2,0.38,0.895,0.515,0.205,20.5,,
cry2,15,1,3,0.015,0.205,0.57,0.915,0.345,0.22,22,,
cry2,15,1,4,0.04,0.18,0.57,0.93,0.36,0.22,22,,
cry2,15,1,5,0.006,0.245,0.51,0.81,0.3,0.251,25.1,,
cry2,15,1,6,0.04,0.18,0.46,0.855,0.395,0.22,22,,
cry2,15,1,7,0.03,0.2,0.56,0.94,0.38,0.23,23,,
cry2,15,1,8,0.045,0.17,0.5,0.94,0.44,0.215,21.5,,
cry2,15,1,9,0.017,0.205,0.48,0.97,0.49,0.222,22.2,,
cry2,15,1,10,0.025,0.18,0.58,0.96,0.38,0.205,20.5,,
cry2,15,1,11,0.04,0.14,0.54,0.95,0.41,0.18,18,,
cry2,15,1,12,0.035,0.175,0.56,0.99,0.43,0.21,21,,
cry2,15,1,13,0.02,0.26,0.58,0.88,0.3,0.28,28,0.195384615,
cry2,25,1,1,0.05,0.355,0.64,2.42,1.78,0.405,40.5,,
cry2,25,1,2,0.04,0.38,0.63,2.43,1.8,0.42,42,,
cry2,25,1,3,0.045,0.385,0.585,2.37,1.785,0.43,43,,
cry2,25,1,4,0.02,0.399,0.58,2.39,1.81,0.419,41.9,,
cry2,25,1,5,0.08,0.36,0.57,1.95,1.38,0.44,44,,
cry2,25,1,6,0.03,0.42,0.63,2.35,1.72,0.45,45,,
cry2,25,1,7,0.06,0.38,0.6,2.25,1.65,0.44,44,,
cry2,25,1,8,0.06,0.44,0.6,2.03,1.43,0.5,50,,
cry2,25,1,9,0.03,0.45,0.6,2.21,1.61,0.48,48,,
cry2,25,1,10,0.02,0.45,0.6,2.225,1.625,0.47,47,,
cry2,25,1,11,0.025,0.47,0.63,2.275,1.645,0.495,49.5,,
cry2,25,1,12,0.04,0.42,0.6,2.24,1.64,0.46,46,0.605416667,
