Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
er-105,15,1,2,0.008,0.268,0.83,2.31,1.48,0.276,27.6,,
er-105,15,1,3,0.005,0.365,0.87,1.66,0.79,0.37,37,,
er-105,15,1,4,0.01,0.291,0.845,2.05,1.205,0.301,30.1,,
er-105,15,2,1,0.006,0.271,0.95,2.33,1.38,0.277,27.7,,
er-105,15,2,2,0.007,0.265,0.775,2.345,1.57,0.272,27.2,,
er-105,15,2,3,0.01,0.3,0.85,2.18,1.33,0.31,31,,
er-105,15,2,4,0.013,0.33,0.74,2.23,1.49,0.343,34.3,,
er-105,15,3,1,0.01,0.363,0.82,1.61,0.79,0.373,37.3,,
er-105,15,3,2,0.01,0.227,0.75,2.09,1.34,0.237,23.7,,
er-105,15,3,3,0.01,0.312,0.76,1.68,0.92,0.322,32.2,,
er-105,15,3,4,0.01,0.3,0.7,1.86,1.16,0.31,31,0.823333333,
Landsberg,15,1,1,0.029,0.53,0.87,1.09,0.22,0.559,55.9,,
Landsberg,15,1,2,0.01,0.271,0.94,1.99,1.05,0.281,28.1,,
Landsberg,15,1,3,0.01,0.3,0.64,1.32,0.68,0.31,31,,
Landsberg,15,1,4,0.005,0.337,0.8,1.7,0.9,0.342,34.2,,
Landsberg,15,2,1,0.01,0.275,1.1,2.06,0.96,0.285,28.5,,
Landsberg,15,2,2,0.005,0.255,1.08,2.48,1.4,0.26,26,,
Landsberg,15,2,3,0.02,0.28,1.1,1.78,0.68,0.3,30,,
Landsberg,15,2,4,0.006,0.27,0.835,2.01,1.175,0.276,27.6,,
Landsberg,15,3,1,0.01,0.239,1.08,2.06,0.98,0.249,24.9,,
Landsberg,15,3,2,0.014,0.214,0.945,1.8,0.855,0.228,22.8,,
Landsberg,15,3,3,0.015,0.255,0.88,2.15,1.27,0.27,27,,
Landsberg,15,3,4,0.01,0.235,0.62,1.51,0.89,0.245,24.5,0.9075,
Mt-0,15,1,1,0.01,0.26,0.72,1.59,0.87,0.27,27,,
Mt-0,15,1,2,0.02,0.265,0.88,1.51,0.63,0.285,28.5,,
Mt-0,15,1,3,0.01,0.287,0.85,1.735,0.885,0.297,29.7,,
Mt-0,15,1,4,0.01,0.255,0.76,1.89,1.13,0.265,26.5,,
