Plate,Individual,Genotype,Temperature,Laterals,Cell_Length,Root_Growth,Cell_Production
3,6,phyabcde,25C,,0.144,16.982733,117.9356458
1,1,ahk3/cre1,25C,,0.186,13.084723,70.34797312
1,2,ahk3/cre1,25C,,0.149,15.867201,106.4912819
1,3,ahk3/cre1,25C,,0.177,12.985723,73.36566667
1,4,ahk3/cre1,25C,,0.166,12.48576,75.21542169
1,5,ahk3/cre1,25C,,0.17,13.873092,81.60642353
1,6,ahk3/cre1,25C,,0.163,12.304679,75.48882822
2,1,ahk3/cre1,25C,,0.156,13.45789,86.26852564
2,2,ahk3/cre1,25C,,0.196,12.77028,65.1544898
2,3,ahk3/cre1,25C,,0.195,14.66892,75.22523077
2,4,ahk3/cre1,25C,,0.22,7.792801,35.42182273
3,1,ahk3/cre1,25C,,0.126,10.78729,85.6134127
3,2,ahk3/cre1,25C,,0.169,14.86782,87.97526627
3,3,ahk3/cre1,25C,,0.182,14.879082,81.7531978
3,4,ahk3/cre1,25C,,0.198,12.089283,61.05698485
3,5,ahk3/cre1,25C,,0.192,11.87285,61.83776042
1,1,ahk3/cre1,15C,,0.145,8.789102,60.61449655
1,2,ahk3/cre1,15C,,0.211,8.628304,40.89243602
1,3,ahk3/cre1,15C,,0.153,7.627391,49.85222876
1,4,ahk3/cre1,15C,,0.135,6.738201,49.9126
1,5,ahk3/cre1,15C,,0.152,6.028943,39.66409868
1,6,ahk3/cre1,15C,,0.154,7.602988,49.37005195
2,1,ahk3/cre1,15C,,0.151,7.707782,51.04491391
2,2,ahk3/cre1,15C,,0.157,6.982093,44.47192994
2,3,ahk3/cre1,15C,,0.169,8.072891,47.7685858
2,4,ahk3/cre1,15C,,0.16,9.810872,61.31795
2,5,ahk3/cre1,15C,,0.159,7.627301,47.97044654
3,1,ahk3/cre1,15C,,0.153,8.140293,53.20452941
3,2,ahk3/cre1,15C,,0.155,7.822678,50.46889032
3,3,ahk3/cre1,15C,,0.174,8.8744562,51.00262184
3,4,ahk3/cre1,15C,,0.155,7.1892031,46.38195548
3,5,ahk3/cre1,15C,,0.154,6.29293,40.86318182
3,6,ahk3/cre1,15C,,0.155,7.5672281,48.82082645
3,7,ahk3/cre1,15C,,0.153,7.380274,48.23708497
1,1,Cvi-0,25C,,0.208,15.78299,75.87975962
1,2,Cvi-0,25C,,0.231,6.892003,29.83551082
1,3,Cvi-0,25C,,0.177,8.672832,48.99905085
1,4,Cvi-0,25C,,0.234,10.98273,46.93474359
1,5,Cvi-0,25C,,0.21,8.927362,42.51124762
1,6,Cvi-0,25C,,0.247,13.67283,55.35558704
1,7,Cvi-0,25C,,0.287,15.878293,55.32506272
2,1,Cvi-0,25C,,0.189,8.163791,43.19466138
2,2,Cvi-0,25C,,0.223,10.374521,46.5225157
2,3,Cvi-0,25C,,0.235,16.782936,71.41674894
2,4,Cvi-0,25C,,0.205,8.3592836,40.77699317
3,1,Cvi-0,25C,,0.234,7.928365,33.88190171
3,2,Cvi-0,25C,,0.217,11.023674,50.80034101
3,3,Cvi-0,25C,,0.266,14.87452,55.91924812
3,4,Cvi-0,25C,,0.221,12.8900283,58.32591991
3,5,Cvi-0,25C,,0.201,11.728322,58.3498607
3,6,Cvi-0,25C,,0.18,7.027391,39.04106111
3,7,Cvi-0,25C,,0.253,14.827321,58.60601186
3,8,Cvi-0,25C,,0.255,14.82937,58.15439216
1,1,Cvi-0,15C,,0.189,7.39126,39.10719577
1,2,Cvi-0,15C,,0.244,8.928366,36.59166393
1,3,Cvi-0,15C,,0.164,5.672883,34.59075
1,4,Cvi-0,15C,,0.173,6.4263744,37.14667283
1,5,Cvi-0,15C,,0.246,4.375601,17.78699593
1,6,Cvi-0,15C,,0.211,5.672831,26.88545498
1,7,Cvi-0,15C,,0.193,6.3029331,32.65768446
2,1,Cvi-0,15C,,0.202,6.472831,32.04371782
